"","cell","natural","current_operations","combined_operations","combined_operations_AWSA","x","y","z"
"1902",2175,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507894,737766,4609
"1903",2176,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507877,737748,4608
"1904",2177,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507915,737782,4609
"1905",2199,0.074890372588157,0.0833544190064795,0.0738879070949011,0.0738324206133188,2507028,737028,4603
"1906",2203,0.074890372588157,0.0833544190064795,0.0738879070949011,0.0738324206133188,2507043,737064,4602
"1907",2204,0.074890372588157,0.0833544190064795,0.0738879070949011,0.0738324206133188,2507044,737075,4602
"1908",2205,0.074890372588157,0.0833544190064795,0.0738879070949011,0.0738324206133188,2507045,737086,4603
"1909",2206,0.0560315502328676,0.0581948164146868,0.0550487534022863,0.0550270513518418,2507030,737039,4603
"1910",2209,0.0560315502328676,0.0581948164146868,0.0550487534022863,0.0550270513518418,2507047,737096,4603
"1911",2210,0.0560315502328676,0.0581948164146868,0.0550487534022863,0.0550270513518418,2507048,737107,4603
"1912",2211,0.0560315502328676,0.0581948164146868,0.0550487534022863,0.0550270513518418,2507049,737118,4602
"1913",2212,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507114,737229,4597
"1914",2213,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507115,737239,4597
"1915",2214,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507115,737250,4597
"1916",2215,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507116,737261,4597
"1917",2216,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507113,737272,4597
"1918",2217,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507113,737283,4597
"1919",2218,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507114,737293,4597
"1920",2219,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507114,737304,4597
"1921",2220,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507104,737220,4597
"1922",2221,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507094,737201,4600
"1923",2222,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507094,737211,4599
"1924",2223,0.200218086683775,0.215637403494993,0.199017948829613,0.199154675843119,2507083,737181,4601
"1925",2224,0.200218086683775,0.215637403494993,0.199017948829613,0.199154675843119,2507084,737192,4602
"1926",2225,0.141264287615246,0.15200038012959,0.140161559789512,0.140419999740778,2507073,737162,4601
"1927",2226,0.141264287615246,0.15200038012959,0.140161559789512,0.140419999740778,2507073,737173,4601
"1928",2227,0.141264287615246,0.15200038012959,0.140161559789512,0.140419999740778,2507062,737142,4601
"1929",2228,0.141264287615246,0.15200038012959,0.140161559789512,0.140419999740778,2507063,737153,4601
"1930",2229,0.074890372588157,0.0833544190064795,0.0738879070949011,0.0738324206133188,2507051,737129,4602
"1931",2230,0.141264287615246,0.15200038012959,0.140161559789512,0.140419999740778,2507052,737140,4601
"1932",2231,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507115,737315,4597
"1933",2232,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507126,737344,4597
"1934",2233,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507115,737325,4597
"1935",2234,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507116,737336,4597
"1936",2235,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507148,737372,4597
"1937",2236,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507137,737364,4597
"1938",2237,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507127,737355,4597
"1939",2238,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507167,737443,4598
"1940",2239,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507181,737462,4599
"1941",2240,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507171,737454,4599
"1942",2241,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507184,737473,4599
"1943",2242,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507188,737483,4599
"1944",2243,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507148,737383,4597
"1945",2244,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507149,737393,4597
"1946",2245,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507150,737404,4597
"1947",2246,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507150,737414,4597
"1948",2247,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507151,737425,4597
"1949",2248,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507150,737436,4597
"1950",2249,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507250,737588,4599
"1951",2250,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507201,737502,4600
"1952",2251,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507191,737493,4599
"1953",2252,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507204,737512,4599
"1954",2253,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507208,737523,4599
"1955",2254,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507221,737541,4600
"1956",2255,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507211,737533,4599
"1957",2256,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507224,737552,4599
"1958",2257,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507228,737562,4599
"1959",2258,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507234,737576,4599
"1960",2259,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507516,737910,4601
"1961",2260,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507503,737903,4601
"1962",2261,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507499,737892,4601
"1963",2262,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507493,737882,4601
"1964",2263,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507486,737872,4601
"1965",2264,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507476,737864,4601
"1966",2265,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507437,737807,4601
"1967",2266,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507445,737815,4601
"1968",2267,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507453,737823,4601
"1969",2268,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507473,737852,4601
"1970",2269,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507461,737832,4601
"1971",2270,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507467,737842,4601
"1972",2271,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507293,737651,4598
"1973",2272,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507299,737661,4598
"1974",2273,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507410,737754,4601
"1975",2274,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507401,737746,4599
"1976",2275,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507306,737671,4598
"1977",2276,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507315,737679,4598
"1978",2277,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507392,737738,4599
"1979",2278,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507328,737684,4598
"1980",2279,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507383,737730,4598
"1981",2280,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507373,737723,4598
"1982",2281,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507337,737692,4598
"1983",2282,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507346,737700,4598
"1984",2283,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507355,737708,4598
"1985",2284,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507364,737715,4598
"1986",2285,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507428,737798,4601
"1987",2286,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507419,737777,4600
"1988",2287,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507420,737790,4601
"1989",2288,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507410,737769,4602
"1990",2289,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507257,737602,4599
"1991",2290,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507267,737614,4599
"1992",2291,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507273,737628,4599
"1993",2292,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507279,737642,4599
"1994",2293,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507510,737925,4602
"1995",2294,0.602307589746615,0.612780225463521,0.610988316242935,0.613853399994816,2507506,737940,4604
